dataset,method,mean_estimated_ate,true_ate,bias,absolute_bias,variance,rmse,mean_relative_error_pct,sample_size
simulation,OLS,0.03882054122064248,0.03392964339713715,0.004890897823505274,0.005087177367146925,3.6231586341323875e-05,0.007124379095551144,14.400504764046314,1000
simulation,DML,0.04354903878358483,0.03392964339713715,0.009619395386447651,0.009619395386447651,5.155378664465135e-05,0.01145350884845371,28.35075141293776,1000
simulation,Causal Forest,0.045378198777119724,0.03392964339713715,0.01144855537998255,0.01144855537998255,3.721920934979356e-05,0.012608446435493786,33.74199513857418,1000
simulation,IPW,0.0462125595894601,0.03392964339713715,0.012282916192322925,0.012282916192322925,0.00010543829956914663,0.015145773439609439,36.17754157587708,1000
simulation,Naive,0.16910444765201949,0.03392964339713715,0.1351748042548823,0.1351748042548823,2.298443707860554e-05,0.13524061134984777,398.4239241820107,1000
simulation,Causal Forest,0.035638200668198575,0.03396266971482517,0.0016755309533734,0.00396294625829975,2.0866198013610347e-05,0.004304232962935018,4.936494401253761,2000
simulation,OLS,0.034548320759486176,0.03396266971482517,0.000585651044660975,0.005330922918998775,3.8587345883068736e-05,0.005419369137259532,1.728165221914892,2000
simulation,DML,0.03967690514368227,0.03396266971482517,0.00571423542885705,0.00571423542885705,1.1531099329690835e-05,0.006431901722093542,16.82806319864904,2000
simulation,IPW,0.032764676388396675,0.03396266971482517,-0.0011979933264285253,0.009089957493569025,0.0001328135125231314,0.010051989405059485,-3.5274689899851954,2000
simulation,Naive,0.16816232147504048,0.03396266971482517,0.13419965176021523,0.13419965176021523,9.922035735824313e-06,0.13422691415147808,395.13360546461104,2000
simulation,Causal Forest,0.0419617628674891,0.0339930858472254,0.00796867702026365,0.00796867702026365,7.014341190992936e-06,0.00828278377975109,23.435499529389563,3000
simulation,OLS,0.04245753403714795,0.0339930858472254,0.008464448189922475,0.008464448189922475,5.378526674559739e-06,0.00869066989640206,24.894078460236717,3000
simulation,DML,0.043310367459263775,0.0339930858472254,0.0093172816120383,0.0093172816120383,3.3844861307333122e-06,0.009444933037883156,27.403348593614833,3000
simulation,IPW,0.046342485832159996,0.0339930858472254,0.01234939998493455,0.01234939998493455,2.3747649915558695e-05,0.013038715364137145,36.3159567085695,3000
simulation,Naive,0.17241002109657466,0.0339930858472254,0.1384169352493492,0.1384169352493492,3.1653057535027676e-05,0.13850181567663392,407.1825038313591,3000
simulation,OLS,0.04060703870680235,0.033995074749770975,0.006611963957031375,0.006611963957031375,1.6538297477045592e-06,0.006705423116031836,19.44996309763883,5000
simulation,Causal Forest,0.040750122604102795,0.033995074749770975,0.0067550478543318,0.0067550478543318,1.879726572179167e-06,0.0068573442636121655,19.869926166879598,5000
simulation,IPW,0.0410673002129689,0.033995074749770975,0.007072225463197925,0.007072225463197925,6.551477456466089e-06,0.00741221266502045,20.804157594412363,5000
simulation,DML,0.04346477149880145,0.033995074749770975,0.00946969674903045,0.00946969674903045,3.1182058227677356e-06,0.009591239085797657,27.855144249628307,5000
simulation,Naive,0.1712049328481814,0.033995074749770975,0.13720985809841035,0.13720985809841035,1.753679449490103e-05,0.13725753609211994,403.6140485261752,5000
